,"...1","...2","...3","...4","...5"	
1,NA,NA,NA,NA,NA	
2,"OTU","Specimen no","Barcode","Taxon","locality"	
3,NA,NA,NA,NA,NA	
4,NA,NA,NA,NA,NA	
5,"1","W.Ave 218","L 3933429","javensis","Kp. Sekam , tapah, Perak, West malaysia (04°20'N, 101°20'E)	 800 m a.s.l"
6,"2","S 54137","L0617893","javensis","Gn. Bawang, Mattang	 600 m a.s.l"
7,"3","Ambi & Arifin AA 453","L 0372234","javensis","Wanariset Samboja, east Kalimantan"	
8,"4","Rahmat Si Toroes No 331","L 3928337","javensis","Parbasiran Merbau, East Sumatra"	
9,"5","W.J. Lutjeharms WJL 4253","K 000934698","8: var polyphyllus","Enggano, West coast Sumatra	 <U+2642> -- cited in Furtado as var. Polyphyllus"
10,"6","Rahmat Si Toroes No 4350","L 3928336","javensis","Labuan Batu, Gn. Pangaribuan, East coast Sumatera"	
